term,definition
가공,타인의 동산에 어떤 작업을 통하여 새로운 것을 만들어 내는 것이다 새로이 제작된 물건을 가공물이라고 하고 만들어진 물건이 새로운 것인지 아닌지는 사회의 일반적 통념에 따라 결정한다
가등기,본등기종국등기를 할 수 있을 만한 실체법적 절차법적 요건이 구비되지 않을 때 본등기의 순위를 확보하기 위해 임시로 미리 해두는 등기를 지칭한다부동산 등기법 제조
가석방,징역 또는 금고의 형을 받고 수형 중에 있는 자가 선행 또는 선행하기로 약속하거나 뉘우치는 태도가 뚜렷할 때 형기 만료 전에 조건부로 석방하는 제도를 말한다
가압류,채권자의 청구권에 대해 장래에 실시할 강제집행이 불가능하거나 매우 곤란한 상황에 대비해 채무자의 재산을 사전에 압류함으로써 강제집행을 보전하는 절차민사집행법 제조 이하
가족법,가족 및 친족의 공동생활과 공동생활에 기초한 재산의 승계관계를 규율하는 법이다
가집행선고,민사소송의 경우 확정판결이 나기까지 오랜 시간이 걸리기 때문에 이로 인해 승소자가 승소판결의 실익을 얻지 못하는 것을 막기 위해 미확정 판결에 대해서도 확정판결과 동일한 집행력을 부여하는 절차
가처분,금전채권 이외에 특정의 지급을 목적으로 하는 청구권에 대한 집행을 보전하기 위하여 또는 권리관계에 대한 임시의 지위를 빠른 시간 안에 정하기 위해 법원이 행하는 일시적인 명령민사집행법 제조
가해자,다른 사람의 생명이나 신체 재산 명예 등에 해를 끼친 사람을 뜻한다
간접강제,채무자가 스스로 채무를 이행하지 않을 경우 채무자에 대해 어떤 불이익을 부과하거나 심리적으로 압박을 가함으로써 빚을 갚게하는 방법을 말한다
간통,정조를 위반하는 행위로 배우자가 있는 사람이 그의 배우자가 아닌 다른 사람과 자발적으로 성교하는 것을 말한다
감정,법원 또는 수사기관이 특수한 지식이나 경험을 가진 자로 하여금 그 전문지식을 활용하여 일정한 사실을 판단하도록 하는 것을 말한다
감정인,법원의 명령에 따라 전문적 지식이나 경험에 속하는 법칙 또는 이를 구체적 사실에 적용하여 얻은 판단을 법원이나 법관에 보고하는 자를 말한다
감형권,재판에서 선고받은 형을 가볍게 하거나 형의 집행에서 본래 정하여진 형벌보다 가벼운 형벌에 처하게 해주는 국가원수의 특권을 말한다
강제,상대가 원하지 않는 일을 강요하게 하거나 어떤 일을 할 의무가 없음에도 하도록 명령하는 것을 뜻한다
강제이행,채무자가 채무의 이행을 하지 않을 때에 채권자가 법원에서 정한 절차를 통하여 강제적으로 채무이행을 하게 하는 것을 말한다
개발이익,도로철도 등 공공시설의 건설로 개발이 이루어짐으로 인하여 그 주변의 지가가 상승했을 경우 그 상승된 이익부분을 말한다
개인적공권,국민이 상대방인 국가에 대해 가지는 권리로서 행정법의 개념이다
거동범,외부적인 결과의 발생이 필요하지 않은 범죄로서 일정한 행위만 있으면 이미 구성요건이 충족되는 범죄를 말한다 행위범 형식범이라고도 불린다
거부권,새로 제정된 법안의 의결된 내용에 대해 당사자나 이해관계 있는 제자가 그 법안의 효력발생을 거부할 수 있는 권리이며 주로 입법부가 채택한 법률의 성립을 집행부가 저지할 수 있는 권한을 말한다
검사,범죄 사건을 수사하고 범죄 여부에 대한 법원의 판단을 구하기 위해 피의자를 법원에 기소하고 및 기소를 계속 유지할 임무를 담당한다
검사동일체의원칙,검찰 조직 전체가 검찰총장을 정점으로 상명하복 관계를 가지고 유기적 조직체서로 검찰 사무를 집행하는 것을 말한다
검증,법관이 사실에 관계되는 물체를 자신의 감각에 의하여 스스로 사물의 성질 상태 등을 실험하는 증거조사를 말한다
결과적귀속,인과관계가 인정되는 결과를 행위자의 행위에 객관적으로 구속시킬 수 있는가를 확정하는 형법상 이론이다 결과가 정당한 처벌이라는 관점에서 행위자에게 객관적으로 귀속시킬 수 있느냐와 관련한 규범적 법적 문제이다
결심,재판에서 피고와 원고의 모든 주장 및 증거가 현출됨으로 인하여 판결을 내릴 수 있는 상태가 되면 변론을 종결하는 것을 말한다
경범죄,일상생활에서 일어날 수 있는 가벼운 위법 행위로 죄의 경중이 낮은 범죄를 말한다
경원자소송,인허가 등의 수익적 행정처분을 신청한 여러 사람이 있는데 한쪽에 대한 허가가 다른 쪽에 대한 불허가가 될 수 밖에 없는 경우 허가 등의 처분을 받지 못한 자가 행정청을 상대로 제기하는 소송을 말한다
계,상부 상조 친목 공동이익 등을 목적으로 만들어진 한국의 전통 협동조직으로 모임
계약,법률효과 발생을 목적으로 한 두 개의 의사표시가 합치함으로써 성립하는 하나의 법률행위이다
계약자유의원칙,사회생활에 있어 개인이 본인의 의사에 따라 계약의 형식이나 내용 계약체결여부 등을 자유롭게 결정할 수 있는 원칙이다
계약체결불능,법률적으로 계약 체결을 위한 능력을 보유하고 있지 않은 것을 뜻한다
계약체결상의과실책임,계약의 준비나 성립과정에서 상대방에게 손해를 가한 경우 부담하는 배상책임을 뜻한다민법 제조
계쟁권리,소송 등 사건의 목적이 되는 권리를 말하는 것으로 변호사는 제자로부터 이러한 권리를 넘겨받아 사건에 개입하거나 이익을 도모해서는 안된다는 것을 뜻한다
고객,상점 따위에 물건을 사러 오는 손님을 뜻하며 다른 사람과의 비즈니스적인 목적으로 그 사람의 영역에 들어온 자를 말한다
고소불가분의원칙,친고죄에 있어서 공범 중 한 명 또는 여러 명에 대한 고소나 취소의 효력은 다른 공범자나 그 범죄사실의 전부에 대해서 효력이 발생 한다는 형사소송법상의 원칙형사소송법 제조
고위험행위,방사능 물질의 운반 및 보관 등 위험성이 높은 활동에 임하는 사람은 불법행위법에 의해 발생하는 피해에 대해 절대적 책임을 지게 된다
고의,민법상으로는 과실과 함께 불법행위의 요건 중 하나이며 어떠한 사실을 인식할 수 있었음에도 불구하고 부주의로 인식하지 못한 것을 말한다 형법상으로는 고의와 함께 책임요건의 하나로 보며 범죄사실의 발생을 행위자의 부주의에 의하여 인식하지 못한 것을 말한다
공개주의,변론 증거조사 판결 등 소송의 심리 및 재판을 일반국민이 방청하도록 허용하는 것으로 공정한 재판을 이념으로 하는 원칙이다
공공유한회사,일반 대중에게 주식이 공개된 상장회사로서 공개유한책임회사 공개주식회사라고도 한다
공동저당,동일한 채권의 담보로서 수 개의 부동산 위에 저당권을 설정하는 것으로 이 경우에는 목적물의 수만큼 저당권이 성립한다
공무수탁사인,국가나 지방자치단체로부터 공권을 부여받아 자신의 이름으로 공적인 업무를 처리할 권한을 부여받은 개인이나 사법인을 말한다
공무집행방해죄,직무를 집행하는 공무원에 대하여 폭행 또는 협박을 함으로써 성립하는 죄로 년 이하의 징역이나 천만원 이하의 벌금에 처하게 된다형법 제조 제항
공법상사실행위,일정한 사실을 행하는 것으로 어떠한 사실상의 효과 결과의 실현을 목적으로 하는 행정작용을 말한다
공법행위,일반적으로 공법관계의 법률행위로서 공법적 효과를 발생 변경 소멸시키는 행위를 말한다
공소기각,형사소송에 있어 공소가 제기된 경우 절차상의 하자 등 소송조건의 흠결을 이유로 사건의 실체에 대한 심리를 하지 않고 소송을 종결시키는 형식적 재판이다
공소사실,공소장에 기재된 범죄사실 및 범죄의 특별구성요건을 충족하는 구체적 사실을 뜻한다
공소장,검사가 공소를 제기하기 위해 법원에 제출하는 문서를 뜻한다
공시송달,송달 받을 자의 주소 또는 거소를 알 수 없는 경우 당사자의 권리보호를 위하여 법원이 서류를 보관해 두었다가 당사자가 나타나면 교부할 뜻을 법원 게시판에 게시하는 송달방법이다민사소송법 제조
공시의원칙,물권의 변동은 외부에서 인식할 수 있도록 반드시 일정한 공시방법을 수반해야 한다는 것으로 공시방법이 누락되었을 경우 법률상 효력이 완전하게 발생하지 않는다는 원칙이다
공용징수,공익을 위해 필요한 처분으로서 타인의 재산권을 법률의 힘으로 강제적으로 취득하는 것을 뜻하며 민법에서는 공용징수 행정법에서는 공용수용이라고 부른다
공유,물건의 지분에 관하여 수인이 공동으로 소유하는 형태를 말한다
공증,특정한 사실 또는 법률관계의 존재여부나 내용을 공적 권위로써 증명하는 행정행위를 말한다
공증인,당사자나 그밖의 관계인의 위탁에 따라 법률행위나 사권에 관한 사실에 대하여 공정증서를 작성하고 또는 사서증서에 인증을 부여하는 자를 말한다
