clauseField,ftcCnclsns,clauseArticle,dvAntageous,illdcssBasiss,relateLaword,unfavorableProvision
1,1,"배송비용 부담조항                                                                                          
(1) 약관조항가맹점관리규정 ⅳ. 반품처리규정. 4-1-1. 가맹점 업무지침
라. 불량 입고시 배송비용은 가맹점이 부담하는 것을 원칙으로 한다.",2,"매매물건에 하자가 있는 경우 매수인은 매도인에게 하자없는 물건을 청구할 수 있고, 매도인은 완전물로 급부하여야 하며, 물건인도에 소요되는 비용은 하자있는 목적물을 인도한 매도인이 부담하는 것이 신의칙에 합당하다. 불량제품 교환시 소요되는 배송비용을 가맹점에 부담시키는 것은 가맹점에 부당하게 불리한 조항이다.","제6조(일반원칙)
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",1
2,1,"제2항 
신탁계약에 의거 갑은 목적물에 대한 매도자의 지위를 가지는 자로서 신탁재산 및 신탁계약의 업무범위 내에서만 책임을 부담하며, 이 분양계약에 의하여 갑에게 발생하는 일체의 의무(해약금반환, 입주지연시 지체상금, 하자보수 등)는 신탁계약 위탁사인 정이 부담하기로 한다.
갑  사업자(수탁자, 매도인)
을  고객(매수인)
정  제3자(위탁자)
",2,"분양계약에 의하여 발생하는 일체의 의무를 분양계약의 당사자가 아닌 제3자의 지위에 있는 위탁자가 부담하는 것으로 규정함으로써 피청구인이 매도인으로서 부담해야 할 법률상,계약상 의무를 배제하고 있다.","제7조(면책조항의 금지) 
계약 당사자의 책임에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
3. 상당한 이유 없이 사업자의 담보책임을 배제 또는 제한하거나 그 담보책임에 따르는 고객의 권리행사의 요건을 가중하는 조항",2
42,1,"제22조 (이용신청 사항의 취소, 환불)
제4항 환불은 서비스이용 취소 신청 이후 7일 이내에 고객의 구좌로 입금한다.
제6항 전화영어 서비스 이용 관련
제4호 교재, 이벤트경품 유형의 상품에 대한 교환, 환불, 반품은 아래의 각호에 따릅니다.
제2호 제품을 수령한지 7일이 지났거나, 제품의 포장 비닐을 벗긴 경우는 반품이 불가능합니다.",2,청약철회권의 행사 및 효과를 제한하는 조항이므로 법률에 따른 고객의 권리를 상당한 이유 없이 배제하거나 제한하는 조항 및 고객에게 부당하게 불리한 조항이다.,"제11조(고객의 권익 보호) 
고객의 권익에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 법률에 따른 고객의 항변권, 상계권 등의 권리를 상당한 이유 없이 배제하거나 제한하는 조항",2
26,1,"제 12조 (여행 조건의 변경 요건 및 요금 등의 정산)
①위 제 1조 내지 제 11조의 여행조건은 다음 각 호의 1의 경우에 한하여 상기 일정은 항공 및 현지사정으로 예고없이 변경될 수 있습니다. 
1. 여행자의 안전과 보호를 위하여 여행자의 요청 또는 현지사정에 의하여 부득이하다고 쌍방이 합의한 경우
2. 천재지변, 전란, 정부의 명령, 운송, 숙박기관 등의 파업 및 휴업 등으로 여행의 목적을 달성할 수 없는 경우",2,"일단 계약이 체결되면 원칙적으로 계약체결 당시에 약정된 여행가격 등의 계약조건은 약정한대로 확정되며, 사정변경이 있는 경우에는 계약 내용의 수정․변경 여부만이 문제될 수 있다. 여행사업자가 예외적으로 여행계약의 조건(가격 및 일정)을 수정하는 경우에도 일반원칙상 다음과 같은 요건을 갖추어야 한다.
계약체결 당시에는 예상하지 못한 부득이한 사정이 발생하고, 여행업자의 책임 있는 사유에 의해서 발생한 것이 아니어야 하며, 변경된 급부내용이 현저한 차이가 있어 전체적인 측면에서 계약내용이 침해되지 않아야 하며,변경할 경우 미리 통지하는 등 절차상의 하자가 없어야 한다. 위 약관 조항은 여행일정이 변경(특히 여행자에게 불리한 여행조건으로의 변경)되는 사유를 ‘항공 및 현지사정’ 등 지나치게 포괄적이고 추상적으로 정하고 있기 때문에 여행사업자가 가격변경을 일방적으로 결정하여 통보할 수 있도록 악용될 소지가 있다.","제10조(채무의 이행) 채무의 이행에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 상당한 이유 없이 급부의 내용을 사업자가 일방적으로 결정하거나 변경할 수 있도록 권한을 부여하는 조항",2
28,1," 제4조 (계약해지)
① 중도해지수수료 산출시 잔존가치 포함 및 000의 과다한 중도해지수수료율(40퍼센트) 적용 관련 
(잔여기간임대료 더하기 추정잔존가치) 곱하기 해지수수료율  
000카드 중도해지수수료율   전체 계약기간 중 최고 30개월까지 중도해지수수료율을 40퍼센트로 적용<sep>② 반환지연금 산출방식 관련  
일렌트료 곱하기 경과일수 곱하기 200퍼센트<sep>③ 차량 인도전 계약해지에 대한 약관조항 관련  
본 계약의 체결 후 차량의 등록 전에는 고객은 회사에게 차량의 구매와 관련하여 회사가 지출한 금원 및 계약서 표기 연체이자율의 이자, 추후 차량의 구매 또는 운행과 관련하여 회사가 부담하게 될 비용을 모두 지급한 후 본 계약을 해지할 수 있습니다.<sep>④ 차량 인도전 계약해지에 대한 위약기간 설정 약관조항 관련   
본 계약체결 후 대여차량이 제조사로부터 출고된 이후부터 인도받기 전까지의 기간 동안에 본 계약을 해지하는 경우에는 본 계약이 시작된 것으로 간주하며, 계약기간 전체에대하여 중도해지위약금을 지급하여야 한다.(000 약관)   
신차 계약시, 본 계약체결 후 새로운 차량이  고객 에게 인도(납품)되기 전에 고객의사정 또는 귀책사유에 의하여 본 계약이 해제 또는 해지되는 경우 고객은 약정한 대여기간 모두를 잔여 대여기간 일수로 보아 회사에 위약금을 납부하여야 한다.(000 약관)",2,"중도해지시 중도해지수수료를 부과하는 해당 약관조항은 고객이 자신의 사정으로 인하여 계약을 임의로 해지하는 경우 이로 인하여 발생할 사업자의 손해에 관하여 당사자들이 미리 정해 놓은 손해배상액의 예정으로 추정된다. 이러한 손해배상의 예정액은 부당하게 과중한 경우 약관법 제8조에 따라 무효가 된다. 고객의 지연반환에 대한 불가피한 사정 등의 고려 없이 일률적으로 높은 위약금율을 적용하는 조항은 고객에게 부당하게 과중한 손해배상을 부담시키는 것으로 약관법 제8조에 위반된다고 판단된다.  고객의 계약해지와 관련하여 소요되는 비용 등을 구체적으로 명시할 수 있음에도 불구하고 피심인들이 고객이 부담하여야 할 비용을 포괄적으로 규정한 것은 고객으로 하여금 추후 사업자가 요구하는 모든 비용을 부담할 수밖에 없도록 하는 것으로서 이는 사업자의 편익만 고려한 약관조항이라고 할 것이다. 차량을 인도받기 전에 이미 차량등록이 완료되었다면, 고객의 계약취소시 대부분 해당 차량은 중고차 시장에 판매되므로 계약기간 전체에 대하여 중도해지위약금을 부과하는 것이 부당하다고 보기 어렵다. 그러나 차량등록 이전인 경우 차량제조사에게 반품이 가능할 수 있고, 특정 사양을 주문하는 등으로 반품이 불가능하더라도 피심인들은 자신의  명의로 차량 등록을 한 후 보유하면서 재활용 등이 가능하므로 고객은 차량등록에 소요되는 비용만 부담하는 것이 타당하다고 할 것이다.","제8조(손해배상액의 예정) 
고객에게 부당하게 과중한 지연 손해금 등의 손해배상 의무를 부담시키는 약관 조항은 무효로 한다.",2
29,1,"제7조 (포인트의 소멸)
제1항 포인트는 다음 각 호에서 정한 유효기한 내에서 사용할 수 있으며 유효기간이 경과된 포인트는 월단위로 자동 소멸됩니다.
제1호 씨티 포인트의 유효기한은 별도로 없습니다. 단, 회원탈회시 포인트는 소멸되나 탈회일로부터 3개월까지는 포인트를 사용할 수 있는 유예기간을 드립니다.",2,약관조항들은 고객의 탈회 또는 개인정보삭제 시 고객의 잔여포인트를 소멸시키면서 사업자는 아무런 원상회복의무를 부담하지 않는 것으로 규정하고 있는바 이는 계약 해제 또는 해지로 인한 사업자의 원상회복의무를 부당하게 경감하는 조항이다.,"제6조(일반원칙) 
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",1
43,1,"제3조(인도시기 및 장소)
제1항 갑은 위에 표시된 인도기한 내에 위 자동차를 인도하여야 하며 을은 자동차를 인수하기 전에 이 계약에 정한 의무를 이행하고 동 기한내에 자동차를 인수하여야 한다.<sep>단 노사분규, 정부조치, 천재지변 등 갑의 자동차제조 또는 인도를 지연시키는 특수한 사정으로 인하여 자동차제조 및 인도가 지연될 때, 그리고 을에게 천재지변, 기타 자동차 인수를 불가능하게 하는 사유가 발생하였을 때에는 그 사유의 종료 후 상당일까지 인도ㆍ인수기한이 연장된 것으로 한다.",2,"노사분규라는 포괄적이고 개념이 불명확한 사유로 자동차 인도 지연 책임을 면책하는 것은 노동쟁의 정도나 범위를 고려하지 않는 것으로 사업자에 의해 남용될 우려가 있다.
 대량거래가 아닌 일반 고객과의 자동차매매계약서에서 매도인의 채무불이행 책임이 부정되는 불가항력 사유는 노동쟁의 중 파업으로 제한 하는 것이 타당하다 위법한 사업자의 직장폐쇄로 인한 노사분규가 발생될 수도 있음에도 사유의 정당성 유무를 떠나서 포괄적으로 사업자 책임이 면책된다는 것은 쟁의행위와 무관한 고객에게만 일방적으로 손해를 감수하도록 하는 것으로 동약관조항은 사업자가 부담하여야 할 위험을 고객에게 이전시키는 조항이다.","제7조(면책조항의 금지) 
계약 당사자의 책임에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  2. 상당한 이유 없이 사업자의 손해배상 범위를 제한하거나 사업자가 부담하여야 할 위험을 고객에게 떠넘기는 조항",2
3,1,"제9조(제세공과금 등의 부담)
갑과을에 각자 부과되는 제세공과금은 본인이 부담함을 원칙으로 한다.
단, 재산세, 종합토지세등의 제세 공과금은 갑이 통보한 입주지정일을 기준으로 입주지정 개시일 전일까지 고지분은 갑부담하고, 이후 고지분은 을의 소유권이전등기 및 잔금완납 또는 입주여부에 관계없이 을이 부담한다. 잔금 납부 약정일이 입주지정 개시일 이후일 경우에는 잔금납부 약정일을 기준으로 하여 납부한다.",2,"전기료, 수도료등 제세공과금의 부담주체는 분양목적물의 소유자이므로 입주지정일 이전에 발생한 제세공과금은 당시의 소유자인 사업자가 부담함이 타당함에도 현행 약관조항은 입주지정일 이후에 고지되는 제세공과금을 고객이 부담하도록 규정하여, 입주지정일 이전에 발생하였으나 그 이후에 고지되는 경우에는 사업자가 부담하여야 할 제세공과금이 고객에게 전가되는 결과를 초래되는 바, 이러한 약관 조항은 고객에게 부당하게 불리한 조항이다.","제6조(일반원칙) 
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",1
33,1,"제3조 (구매신청의 철회 및 반품)
① 본 계약의 효력이 발생한 후 10일이내는 본 구매 신청을 철회할 수 있으며, 철회는 반드시 서면으로 작성하여 회사에 제출하여야 한다. 단, 우편발송시에는 당일 소인까지 인정한다.<sep>제4조 (상품의 반품)
② 본 계약의 효력발생 후 10일이 경과된 이후에는 반품할 수 없다.",2,관련규정에 비해 소비자에게 불리하게 규정하고 있어 이는 법률의 규정에 의한 고객의 권리를 상당한 이유없이 배제 또는 제한하는 것이다.,"제11조(고객의 권익 보호) 고객의 권익에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 법률에 따른 고객의 항변권(抗辯權), 상계권(相計權) 등의 권리를 상당한 이유 없이 배제하거나 제한하는 조항",2
35,1,"(00000)
제13조 (보험금 지급에 관한 세부규정)
제3항 제12조(보험금의 종류 및 지급사유)의 경우 피보험자(보험대상자)가 병원 또는 의원을 이전하여 입원한 경우에도 회사가 이를 인정한 때에는 계속하여 입원한 것으로 봅니다.<sep>(00000)
제19조 (보험금 지급에 관한 세부규정) 
제3항 제18조(보험금의 종류 및 지급사유)의 경우 피보험자(보험대상자)가 병원 또는 의원을 이전하여 입원한 경우에도 회사가 이를 인정하는 때에는 계속하여 입원한 것으로 봅니다.<sep>(00000)
제13조 (보험금 지급에 관한 세부규정) 
제3항 제12조(보험금의 종류 및 지급사유)의 경우 피보험자(보험대상자)가 병원 또는 의원을 이전하여 입원한 경우에도 회사가 이를 인정하는 때에는 계속하여 입원한 것으로 봅니다.<sep>(00000)
제13조 (보험금 지급에 관한 세부규정)
제3항 제12조(보험금의 종류 및 지급사유)의 경우 피보험자(보험대상자)가 병원 또는 의원을 이전하여 입원한 경우에도 회사가 이를 인정하는 때에는 계속하여 입원한 것으로 봅니다.<sep>(00000)
제19조 (보험금 지급에 관한 세부규정)
제3항 제18조(보험금의 종류 및 지급사유)의 경우 피보험자(보험대상자)가 병원 또는 의원을 이전하여 입원한 경우에도 회사가 이를 인정하는 때에는 계속하여 입원한 것으로 봅니다.",2,"입원기간 중 의료기관이 변경된 경우 그 변경된 의료기관에의 입원이 직접 치료를 위한 것이라면 한 곳에 계속 입원한 경우와 다르게 보아야 할 합리적인 이유가 없다. 즉, 입원기간 중 의료기관이 변경되더라도 직접 치료를 목적으로 한 입원이고 전체 입원기관이 4일 이상이라면 피심인은 보험수익자에게 약정 입원급여금을 지급하는 것이 타당하다.","제10조(채무의 이행) 
채무의 이행에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 상당한 이유 없이 급부의 내용을 사업자가 일방적으로 결정하거나 변경할 수 있도록 권한을 부여하는 조항",2
